subject,activity,trial,is_fall,acc_length,gyro_length,length_diff,acc_max_smv,acc_mean_smv,acc_peak_ratio,gyro_max_mag,gyro_mean_mag
6,1,1,False,154,360,206,18.15383004128864,9.996333121826888,1.8160489253293741,4.840226079981141,1.4514286710822035
6,1,3,False,61,946,885,13.76630741830248,9.976007645639442,1.3799415451050079,5.331245286630466,0.944709649442256
6,1,4,False,361,210,151,20.54280468667941,10.089990944134037,2.035958682228816,4.684456495438258,1.163198218278674
6,2,1,False,83,426,343,13.892478118959778,9.640227750169535,1.441094387454126,5.866877609630606,1.2659267788112547
6,2,2,False,99,1129,1030,16.0260412989707,10.422036485516239,1.537707271113991,9.436899744612766,1.7404109788885727
6,3,1,False,466,1609,1143,25.2398371388608,10.514042791048427,2.4005834498166547,11.909422413342705,2.8173231284128644
6,3,2,False,356,779,423,23.137707864149682,10.620993529814003,2.178488083757452,9.311656954054659,2.517613115615293
6,3,3,False,356,692,336,18.55885796373597,10.721419442006372,1.731007544925679,10.648612926834799,2.0896867322588557
6,4,1,False,198,662,464,19.001620084871558,10.5035349365514,1.8090690592799248,7.0377264589389465,1.634290315282273
6,4,2,False,108,1620,1512,16.62949596807123,10.313118616410042,1.612460456479777,9.581910785522698,1.3497278170451867
6,5,2,False,248,307,59,18.054732610899254,10.24339842458486,1.7625725218244883,4.090025460853664,0.6935515107977283
6,5,3,False,240,538,298,14.971880459843947,10.183831259088652,1.4701618736838884,6.991339091077516,0.9017728581969647
6,5,5,False,222,802,580,14.041265347306828,10.178631733418685,1.3794845615065747,2.1719437232213274,0.8055748193774532
6,6,1,False,141,493,352,24.983176746653715,10.257292290871252,2.4356502684954826,10.509633673903727,2.8562643679342203
6,6,2,False,189,307,118,26.538474316902832,10.329910629120796,2.5690904059129,48.058840299047674,2.4020418657071367
6,6,3,False,287,366,79,22.61432118378445,10.409422492005543,2.172485666657054,6.870234191359298,1.9275190770970045
6,6,4,False,201,141,60,29.728390202954984,10.371201475710965,2.8664364725643017,6.915266730815777,1.9669070588613893
6,6,5,False,199,289,90,42.610784137311136,10.437001984766283,4.082665133021786,11.733080018952133,2.8705179015753157
